id,Phylum,Class,Order,Family,Genus
strain_068,Phylum_01,Class_01,Order_01,Family_03,Genus_08
strain_069,Phylum_01,Class_01,Order_01,Family_11,Genus_33
strain_070,Phylum_01,Class_01,Order_01,Family_06,Genus_16
strain_071,Phylum_01,Class_01,Order_01,Family_08,Genus_20
strain_072,Phylum_01,Class_01,Order_01,Family_04,Genus_09
strain_073,Phylum_01,Class_01,Order_01,Family_01,Genus_01
strain_074,Phylum_01,Class_01,Order_01,Family_11,Genus_26
strain_075,Phylum_01,Class_01,Order_01,Family_07,Genus_21
strain_076,Phylum_01,Class_01,Order_01,Family_06,Genus_02
strain_077,Phylum_01,Class_01,Order_01,Family_03,Genus_03
strain_078,Phylum_01,Class_01,Order_01,Family_01,Genus_01
strain_079,Phylum_01,Class_01,Order_01,Family_09,Genus_24
strain_080,Phylum_01,Class_01,Order_01,Family_02,Genus_23
strain_081,Phylum_01,Class_01,Order_01,Family_05,Genus_07
strain_082,Phylum_01,Class_01,Order_01,Family_03,Genus_28
strain_083,Phylum_01,Class_01,Order_01,Family_08,Genus_20
strain_084,Phylum_01,Class_01,Order_01,Family_01,Genus_01
strain_085,Phylum_01,Class_01,Order_01,Family_04,Genus_09
strain_086,Phylum_01,Class_01,Order_01,Family_10,Genus_31
strain_087,Phylum_01,Class_01,Order_01,Family_08,Genus_06
strain_088,Phylum_01,Class_01,Order_01,Family_05,Genus_07
strain_089,Phylum_01,Class_01,Order_01,Family_03,Genus_04
strain_090,Phylum_01,Class_01,Order_01,Family_03,Genus_12
strain_091,Phylum_01,Class_01,Order_01,Family_07,Genus_17
strain_092,Phylum_01,Class_01,Order_01,Family_03,Genus_12
strain_093,Phylum_01,Class_01,Order_01,Family_03,Genus_10
strain_094,Phylum_01,Class_01,Order_01,Family_09,Genus_24
strain_095,Phylum_01,Class_01,Order_01,Family_09,Genus_24
strain_096,Phylum_01,Class_01,Order_01,Family_05,Genus_11
strain_097,Phylum_01,Class_01,Order_01,Family_04,Genus_09
strain_098,Phylum_01,Class_01,Order_01,Family_07,Genus_25
strain_099,Phylum_01,Class_01,Order_01,Family_08,Genus_06
strain_100,Phylum_01,Class_01,Order_01,Family_07,Genus_25
strain_101,Phylum_01,Class_01,Order_01,Family_07,Genus_32
strain_102,Phylum_01,Class_01,Order_01,Family_03,Genus_27
strain_103,Phylum_01,Class_01,Order_01,Family_04,Genus_19
strain_104,Phylum_01,Class_01,Order_01,Family_08,Genus_06
strain_105,Phylum_01,Class_01,Order_01,Family_03,Genus_12
strain_106,Phylum_01,Class_01,Order_01,Family_08,Genus_20
strain_107,Phylum_01,Class_01,Order_01,Family_07,Genus_18
strain_108,Phylum_01,Class_01,Order_01,Family_03,Genus_08
strain_109,Phylum_01,Class_01,Order_01,Family_03,Genus_05
strain_110,Phylum_01,Class_01,Order_01,Family_04,Genus_19
strain_111,Phylum_01,Class_01,Order_01,Family_03,Genus_13
strain_112,Phylum_01,Class_01,Order_01,Family_09,Genus_24
strain_113,Phylum_01,Class_01,Order_01,Family_03,Genus_29
strain_114,Phylum_01,Class_01,Order_01,Family_03,Genus_04
strain_115,Phylum_01,Class_01,Order_01,Family_03,Genus_27
strain_116,Phylum_01,Class_01,Order_01,Family_07,Genus_18
strain_117,Phylum_01,Class_01,Order_01,Family_03,Genus_27
strain_118,Phylum_01,Class_01,Order_01,Family_06,Genus_02
strain_119,Phylum_01,Class_01,Order_01,Family_03,Genus_28
strain_120,Phylum_01,Class_01,Order_01,Family_03,Genus_15
strain_121,Phylum_01,Class_01,Order_01,Family_11,Genus_26
strain_122,Phylum_01,Class_01,Order_01,Family_07,Genus_32
strain_123,Phylum_01,Class_01,Order_01,Family_03,Genus_03
strain_124,Phylum_01,Class_01,Order_01,Family_07,Genus_32
strain_125,Phylum_01,Class_01,Order_01,Family_04,Genus_19
strain_126,Phylum_01,Class_01,Order_01,Family_03,Genus_29
strain_127,Phylum_01,Class_01,Order_01,Family_05,Genus_07
strain_128,Phylum_01,Class_01,Order_01,Family_03,Genus_04
strain_129,Phylum_01,Class_01,Order_01,Family_03,Genus_14
strain_130,Phylum_01,Class_01,Order_01,Family_07,Genus_21
