id,Phylum,Class,Order,Family,Genus,GC_content,Genome_size,Gene_count
strain_057,Phylum_01,Class_01,Order_01,Family_06,Genus_02,40.1,6.09,4133
strain_058,Phylum_01,Class_01,Order_01,Family_03,Genus_04,56.9,4.25,3180
strain_059,Phylum_01,Class_01,Order_01,Family_08,Genus_06,39.9,4.07,3014
strain_060,Phylum_01,Class_01,Order_01,Family_03,Genus_27,46.4,4.85,4366
strain_061,Phylum_01,Class_01,Order_01,Family_10,Genus_31,64.7,4.77,6158
strain_062,Phylum_01,Class_01,Order_01,Family_05,Genus_11,54.2,4.34,3535
strain_063,Phylum_01,Class_01,Order_01,Family_03,Genus_27,51.7,4.25,5609
strain_064,Phylum_01,Class_01,Order_01,Family_03,Genus_29,55.5,6.27,4072
strain_065,Phylum_01,Class_01,Order_01,Family_11,Genus_33,60.3,4.83,3661
strain_066,Phylum_01,Class_01,Order_01,Family_03,Genus_28,58.3,6.08,6036
strain_067,Phylum_01,Class_01,Order_01,Family_10,Genus_31,41.9,5.15,4809
strain_068,Phylum_01,Class_01,Order_01,Family_03,Genus_08,36.0,3.65,5259
strain_069,Phylum_01,Class_01,Order_01,Family_11,Genus_33,44.5,6.5,5890
strain_070,Phylum_01,Class_01,Order_01,Family_06,Genus_16,43.0,6.01,4751
strain_071,Phylum_01,Class_01,Order_01,Family_08,Genus_20,41.3,6.41,5297
strain_072,Phylum_01,Class_01,Order_01,Family_04,Genus_09,63.3,6.28,3039
strain_073,Phylum_01,Class_01,Order_01,Family_01,Genus_01,61.3,6.05,3458
strain_074,Phylum_01,Class_01,Order_01,Family_11,Genus_26,44.4,4.0,3308
strain_075,Phylum_01,Class_01,Order_01,Family_07,Genus_21,54.7,4.96,6870
strain_076,Phylum_01,Class_01,Order_01,Family_06,Genus_02,46.9,4.14,6617
strain_077,Phylum_01,Class_01,Order_01,Family_03,Genus_03,62.4,4.7,5830
strain_078,Phylum_01,Class_01,Order_01,Family_01,Genus_01,48.8,3.68,6702
strain_079,Phylum_01,Class_01,Order_01,Family_09,Genus_24,42.9,4.64,3610
strain_080,Phylum_01,Class_01,Order_01,Family_02,Genus_23,42.4,6.46,5234
strain_081,Phylum_01,Class_01,Order_01,Family_05,Genus_07,51.8,4.3,3147
strain_082,Phylum_01,Class_01,Order_01,Family_03,Genus_28,42.9,5.85,6418
strain_083,Phylum_01,Class_01,Order_01,Family_08,Genus_20,52.5,4.87,4512
strain_084,Phylum_01,Class_01,Order_01,Family_01,Genus_01,61.9,4.77,5385
strain_085,Phylum_01,Class_01,Order_01,Family_04,Genus_09,47.0,6.37,5263
strain_086,Phylum_01,Class_01,Order_01,Family_10,Genus_31,41.6,6.49,3606
strain_087,Phylum_01,Class_01,Order_01,Family_08,Genus_06,64.9,5.17,4760
strain_088,Phylum_01,Class_01,Order_01,Family_05,Genus_07,50.3,5.66,3522
strain_089,Phylum_01,Class_01,Order_01,Family_03,Genus_04,37.7,3.96,3171
strain_090,Phylum_01,Class_01,Order_01,Family_03,Genus_12,36.4,4.39,4262
strain_091,Phylum_01,Class_01,Order_01,Family_07,Genus_17,38.3,6.41,4493
strain_092,Phylum_01,Class_01,Order_01,Family_03,Genus_12,53.8,5.24,6682
strain_093,Phylum_01,Class_01,Order_01,Family_03,Genus_10,58.8,5.13,6821
strain_094,Phylum_01,Class_01,Order_01,Family_09,Genus_24,47.7,5.74,6260
strain_095,Phylum_01,Class_01,Order_01,Family_09,Genus_24,36.9,3.67,6982
strain_096,Phylum_01,Class_01,Order_01,Family_05,Genus_11,46.4,5.25,6525
strain_097,Phylum_01,Class_01,Order_01,Family_04,Genus_09,64.9,5.01,3163
strain_098,Phylum_01,Class_01,Order_01,Family_07,Genus_25,50.9,6.06,6681
strain_099,Phylum_01,Class_01,Order_01,Family_08,Genus_06,64.1,3.97,4465
strain_100,Phylum_01,Class_01,Order_01,Family_07,Genus_25,60.8,6.38,3860
strain_101,Phylum_01,Class_01,Order_01,Family_07,Genus_32,35.3,3.74,5793
strain_102,Phylum_01,Class_01,Order_01,Family_03,Genus_27,56.6,4.06,4022
strain_103,Phylum_01,Class_01,Order_01,Family_04,Genus_19,55.5,5.29,5731
strain_104,Phylum_01,Class_01,Order_01,Family_08,Genus_06,51.1,5.53,3421
strain_105,Phylum_01,Class_01,Order_01,Family_03,Genus_12,43.0,4.21,4448
strain_106,Phylum_01,Class_01,Order_01,Family_08,Genus_20,54.2,3.86,6195
strain_107,Phylum_01,Class_01,Order_01,Family_07,Genus_18,38.3,6.17,5293
strain_108,Phylum_01,Class_01,Order_01,Family_03,Genus_08,48.0,4.24,6621
strain_109,Phylum_01,Class_01,Order_01,Family_03,Genus_05,48.6,5.28,6582
strain_110,Phylum_01,Class_01,Order_01,Family_04,Genus_19,63.6,5.36,4664
strain_111,Phylum_01,Class_01,Order_01,Family_03,Genus_13,61.3,4.76,6988
strain_112,Phylum_01,Class_01,Order_01,Family_09,Genus_24,42.9,5.25,5542
strain_113,Phylum_01,Class_01,Order_01,Family_03,Genus_29,50.0,5.07,6069
strain_114,Phylum_01,Class_01,Order_01,Family_03,Genus_04,40.4,6.3,3633
strain_115,Phylum_01,Class_01,Order_01,Family_03,Genus_27,62.4,4.11,6791
strain_116,Phylum_01,Class_01,Order_01,Family_07,Genus_18,61.1,5.65,6808
strain_117,Phylum_01,Class_01,Order_01,Family_03,Genus_27,44.0,4.22,3969
strain_118,Phylum_01,Class_01,Order_01,Family_06,Genus_02,54.2,4.69,6541
strain_119,Phylum_01,Class_01,Order_01,Family_03,Genus_28,53.3,5.52,3665
strain_120,Phylum_01,Class_01,Order_01,Family_03,Genus_15,39.6,4.4,6998
strain_121,Phylum_01,Class_01,Order_01,Family_11,Genus_26,57.9,4.45,6276
strain_122,Phylum_01,Class_01,Order_01,Family_07,Genus_32,51.2,5.76,6320
strain_123,Phylum_01,Class_01,Order_01,Family_03,Genus_03,58.4,3.72,3725
strain_124,Phylum_01,Class_01,Order_01,Family_07,Genus_32,50.9,4.87,6610
strain_125,Phylum_01,Class_01,Order_01,Family_04,Genus_19,35.0,6.5,4688
strain_126,Phylum_01,Class_01,Order_01,Family_03,Genus_29,44.7,6.49,3101
strain_127,Phylum_01,Class_01,Order_01,Family_05,Genus_07,35.6,3.72,3734
strain_128,Phylum_01,Class_01,Order_01,Family_03,Genus_04,62.9,4.14,6016
strain_129,Phylum_01,Class_01,Order_01,Family_03,Genus_14,61.4,4.3,6786
strain_130,Phylum_01,Class_01,Order_01,Family_07,Genus_21,59.9,6.3,4360
