id,domain,phylum,class,order,family,genus
genome_000081,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0010
genome_000082,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0010
genome_000083,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0010
genome_000084,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0010
genome_000085,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0010
genome_000086,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0010
genome_000087,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0010
genome_000088,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0011
genome_000089,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0011
genome_000090,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0011
genome_000091,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0011
genome_000092,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0011
genome_000093,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0011
genome_000094,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0011
genome_000095,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0011
genome_000096,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0012
genome_000097,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0012
genome_000098,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0012
genome_000099,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0012
genome_000100,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0012
genome_000101,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0012
genome_000102,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0012
genome_000103,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0012
genome_000104,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0013
genome_000105,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0013
genome_000106,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0013
genome_000107,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0013
genome_000108,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0013
genome_000109,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0013
genome_000110,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0013
genome_000111,Domain_01,Phylum_00,Class_000,Order_001,Family_0006,Genus_0013
genome_000112,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0014
genome_000113,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0014
genome_000114,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0014
genome_000115,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0014
genome_000116,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0014
genome_000117,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0014
genome_000118,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0014
genome_000119,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0014
genome_000120,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0015
genome_000121,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0015
genome_000122,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0015
genome_000123,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_problematic_A
genome_000124,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0015
genome_000125,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0015
genome_000126,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0015
genome_000127,Domain_01,Phylum_00,Class_000,Order_001,Family_0007,Genus_0015
genome_000128,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0016
genome_000129,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0016
genome_000130,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0016
genome_000131,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0016
genome_000132,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0016
genome_000133,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0016
genome_000134,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0016
genome_000135,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0016
genome_000136,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0017
genome_000137,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0017
genome_000138,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0017
genome_000139,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0017
genome_000140,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0017
genome_000141,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0017
genome_000142,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0017
genome_000143,Domain_01,Phylum_00,Class_000,Order_002,Family_0008,Genus_0017
genome_000144,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0018
genome_000145,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0018
genome_000146,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0018
genome_000147,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0018
genome_000148,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0018
genome_000149,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0018
genome_000150,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0018
genome_000151,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0018
genome_000152,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0019
genome_000153,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0019
genome_000154,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0019
genome_000155,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0019
genome_000156,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0019
genome_000157,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0019
genome_000158,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0019
genome_000159,Domain_01,Phylum_00,Class_000,Order_002,Family_0009,Genus_0019
genome_000160,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0020
genome_000161,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0020
genome_000162,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0020
genome_000163,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0020
genome_000164,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0020
genome_000165,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0020
genome_000166,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0020
genome_000167,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0020
genome_000168,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0021
genome_000169,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0021
genome_000170,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0021
genome_000171,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0021
genome_000172,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0021
genome_000173,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0021
genome_000174,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0021
genome_000175,Domain_01,Phylum_00,Class_000,Order_002,Family_0010,Genus_0021
genome_000176,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0022
genome_000177,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0022
genome_000178,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0022
genome_000179,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0022
genome_000180,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0022
genome_000181,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0022
genome_000182,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0022
genome_000183,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0022
genome_000184,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0023
genome_000185,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0023
genome_000186,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0023
genome_000187,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0023
genome_000188,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0023
genome_000189,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0023
genome_000190,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0023
genome_000191,Domain_01,Phylum_00,Class_000,Order_002,Family_0011,Genus_0023
genome_000192,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0024
genome_000193,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0024
genome_000194,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0024
genome_000195,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0024
genome_000196,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0024
genome_000197,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0024
genome_000198,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0024
genome_000199,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0024
genome_000200,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0025
genome_000201,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0025
genome_000202,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0025
genome_000203,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0025
genome_000204,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0025
genome_000205,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0025
genome_000206,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0025
genome_000207,Domain_01,Phylum_00,Class_001,Order_003,Family_0012,Genus_0025
genome_000208,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0026
genome_000209,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0026
genome_000210,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0026
genome_000211,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0026
genome_000212,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0026
genome_000213,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0026
genome_000214,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0026
genome_000215,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0026
genome_000216,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0027
genome_000217,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0027
genome_000218,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0027
genome_000219,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0027
genome_000220,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0027
genome_000221,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0027
genome_000222,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0027
genome_000223,Domain_01,Phylum_00,Class_001,Order_003,Family_0013,Genus_0027
genome_000224,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0028
genome_000225,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0028
genome_000226,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0028
genome_000227,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0028
genome_000228,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0028
genome_000229,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0028
genome_000230,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0028
genome_000231,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0028
genome_000232,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0029
genome_000233,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0029
genome_000234,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0029
genome_000235,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0029
genome_000236,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0029
genome_000237,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0029
genome_000238,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0029
genome_000239,Domain_01,Phylum_00,Class_001,Order_003,Family_0014,Genus_0029
genome_000240,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0030
genome_000241,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0030
genome_000242,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0030
genome_000243,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0030
genome_000244,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0030
genome_000245,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0030
genome_000246,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0030
genome_000247,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0030
genome_000248,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0031
genome_000249,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0031
genome_000250,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0031
genome_000251,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0031
genome_000252,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0031
genome_000253,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0031
genome_000254,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0031
genome_000255,Domain_01,Phylum_00,Class_001,Order_003,Family_0015,Genus_0031
genome_000256,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0032
genome_000257,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0032
genome_000258,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0032
genome_000259,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0032
genome_000260,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0032
genome_000261,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0032
genome_000262,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0032
genome_000263,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0032
genome_000264,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0033
genome_000265,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0033
genome_000266,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0033
genome_000267,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0033
genome_000268,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0033
genome_000269,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0033
genome_000270,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0033
genome_000271,Domain_01,Phylum_00,Class_001,Order_004,Family_0016,Genus_0033
genome_000272,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0034
genome_000273,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0034
genome_000274,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0034
genome_000275,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0034
genome_000276,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0034
genome_000277,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0034
genome_000278,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0034
genome_000279,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0034
genome_000280,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0035
genome_000281,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0035
genome_000282,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0035
genome_000283,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0035
genome_000284,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0035
genome_000285,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0035
genome_000286,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0035
genome_000287,Domain_01,Phylum_00,Class_001,Order_004,Family_0017,Genus_0035
genome_000288,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0036
genome_000289,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0036
genome_000290,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0036
genome_000291,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0036
genome_000292,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0036
genome_000293,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0036
genome_000294,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0036
genome_000295,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0036
genome_000296,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0037
genome_000297,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0037
genome_000298,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0037
genome_000299,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0037
genome_000300,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0037
genome_000301,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0037
genome_000302,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0037
genome_000303,Domain_01,Phylum_00,Class_001,Order_004,Family_0018,Genus_0037
genome_000304,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0038
genome_000305,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0038
genome_000306,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0038
genome_000307,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0038
genome_000308,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0038
genome_000309,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0038
genome_000310,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0038
genome_000311,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0038
genome_000312,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0039
genome_000313,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0039
genome_000314,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0039
genome_000315,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0039
genome_000316,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0039
genome_000317,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0039
genome_000318,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0039
genome_000319,Domain_01,Phylum_00,Class_001,Order_004,Family_0019,Genus_0039
genome_000320,Domain_01,Phylum_00,Class_001,Order_005,Family_0020,Genus_0040
genome_000321,Domain_01,Phylum_00,Class_001,Order_005,Family_0020,Genus_0040
genome_000322,Domain_01,Phylum_00,Class_001,Order_005,Family_0020,Genus_0040
genome_000323,Domain_01,Phylum_00,Class_001,Order_005,Family_0020,Genus_0040
genome_000324,Domain_01,Phylum_00,Class_001,Order_005,Family_0020,Genus_0040
genome_000325,Domain_01,Phylum_00,Class_001,Order_005,Family_0020,Genus_0040
genome_000326,Domain_01,Phylum_00,Class_001,Order_005,Family_0020,Genus_0040
genome_000327,Domain_01,Phylum_00,Class_001,Order_005,Family_0020,Genus_0040
genome_000328,Domain_01,Phylum_00,Class_001,Order_005,Family_0020,Genus_0041
genome_000329,Domain_01,Phylum_00,Class_001,Order_005,Family_0020,Genus_0041
genome_000330,Domain_01,Phylum_00,Class_001,Order_005,Family_0020,Genus_0041
genome_000331,Domain_01,Phylum_00,Class_001,Order_005,Family_0020,Genus_0041
