id,Phylum,Class,Order,Family,Genus,GC_content,Genome_size,Gene_count,blaTEM,blaCTX-M,blaSHV,aac3,tetA,sul1,dfrA1,qnrS
strain_026,Phylum_01,Class_01,Order_01,Family_03,Genus_10,45.1,4.17,6596,0,1,1,1,0,0,1,1
strain_027,Phylum_01,Class_01,Order_01,Family_03,Genus_27,37.8,4.51,3550,0,0,1,0,0,0,1,0
strain_028,Phylum_01,Class_01,Order_01,Family_03,Genus_08,37.9,5.26,4083,1,1,1,0,0,0,1,1
strain_029,Phylum_01,Class_01,Order_01,Family_07,Genus_21,60.4,4.19,3472,0,1,1,1,1,0,1,0
strain_030,Phylum_01,Class_01,Order_01,Family_11,Genus_33,53.1,4.16,6644,1,1,1,1,0,1,0,0
strain_031,Phylum_01,Class_01,Order_01,Family_03,Genus_28,59.2,3.71,3438,0,0,1,1,1,0,1,0
strain_032,Phylum_01,Class_01,Order_01,Family_03,Genus_03,56.9,5.39,6040,0,1,0,1,0,0,1,0
strain_033,Phylum_01,Class_01,Order_01,Family_03,Genus_13,51.1,4.19,5266,1,1,0,1,0,0,1,1
strain_034,Phylum_01,Class_01,Order_01,Family_04,Genus_19,64.2,6.22,3636,1,1,0,0,1,0,0,1
strain_035,Phylum_01,Class_01,Order_01,Family_11,Genus_33,46.4,6.08,4115,1,0,1,1,1,0,0,0
strain_036,Phylum_01,Class_01,Order_01,Family_03,Genus_08,51.6,3.71,4154,1,1,0,0,1,0,0,1
strain_037,Phylum_01,Class_01,Order_01,Family_03,Genus_08,59.9,4.21,5477,0,0,0,1,1,0,0,1
strain_038,Phylum_01,Class_01,Order_01,Family_07,Genus_25,53.6,5.51,3862,1,0,0,1,0,1,0,1
strain_039,Phylum_01,Class_01,Order_01,Family_07,Genus_25,60.9,4.14,5939,0,1,0,1,1,0,0,1
strain_040,Phylum_01,Class_01,Order_01,Family_03,Genus_10,52.3,3.9,4404,1,0,1,0,1,0,1,1
strain_041,Phylum_01,Class_01,Order_01,Family_03,Genus_28,56.1,6.31,3833,0,0,1,1,0,1,1,1
strain_042,Phylum_01,Class_01,Order_01,Family_11,Genus_30,36.4,5.21,5815,1,1,1,0,0,0,1,0
strain_043,Phylum_01,Class_01,Order_01,Family_11,Genus_26,41.8,4.92,5597,0,0,0,1,1,0,1,1
strain_044,Phylum_01,Class_01,Order_01,Family_03,Genus_12,43.7,5.85,6493,0,1,0,1,1,1,1,0
strain_045,Phylum_01,Class_01,Order_01,Family_03,Genus_10,37.4,5.92,4081,1,0,1,0,1,0,1,1
strain_046,Phylum_01,Class_01,Order_01,Family_04,Genus_09,42.0,4.07,5070,1,0,0,0,1,0,1,0
strain_047,Phylum_01,Class_01,Order_01,Family_03,Genus_29,38.0,3.79,5001,0,1,1,1,1,0,0,1
strain_048,Phylum_01,Class_01,Order_01,Family_01,Genus_01,43.3,4.79,4028,1,1,0,1,1,0,0,1
strain_049,Phylum_01,Class_01,Order_01,Family_03,Genus_10,54.1,4.77,6708,1,1,1,1,1,0,1,1
strain_050,Phylum_01,Class_01,Order_01,Family_08,Genus_20,45.9,4.9,6719,0,0,0,0,0,1,1,0
strain_051,Phylum_01,Class_01,Order_01,Family_03,Genus_13,46.1,5.69,6465,1,1,0,0,1,0,0,1
strain_052,Phylum_01,Class_01,Order_01,Family_03,Genus_12,41.3,5.52,3208,1,1,1,1,1,1,1,0
strain_053,Phylum_01,Class_01,Order_01,Family_03,Genus_05,43.0,6.45,3378,1,1,0,0,0,0,1,0
strain_054,Phylum_01,Class_01,Order_01,Family_03,Genus_27,63.1,3.8,5598,1,1,0,1,0,0,1,1
strain_055,Phylum_01,Class_01,Order_01,Family_04,Genus_19,54.4,4.71,4734,1,1,1,1,1,1,0,1
strain_056,Phylum_01,Class_01,Order_01,Family_10,Genus_31,53.3,4.52,6397,1,1,0,1,1,0,0,1
strain_057,Phylum_01,Class_01,Order_01,Family_06,Genus_02,40.1,6.09,4133,0,1,1,0,1,0,1,0
strain_058,Phylum_01,Class_01,Order_01,Family_03,Genus_04,56.9,4.25,3180,0,0,0,0,1,1,0,0
strain_059,Phylum_01,Class_01,Order_01,Family_08,Genus_06,39.9,4.07,3014,1,1,0,0,0,0,0,1
strain_060,Phylum_01,Class_01,Order_01,Family_03,Genus_27,46.4,4.85,4366,1,0,1,0,1,0,0,1
strain_061,Phylum_01,Class_01,Order_01,Family_10,Genus_31,64.7,4.77,6158,0,0,1,1,1,1,1,1
strain_062,Phylum_01,Class_01,Order_01,Family_05,Genus_11,54.2,4.34,3535,1,1,1,0,0,1,0,0
strain_063,Phylum_01,Class_01,Order_01,Family_03,Genus_27,51.7,4.25,5609,1,0,1,1,0,1,0,0
strain_064,Phylum_01,Class_01,Order_01,Family_03,Genus_29,55.5,6.27,4072,0,0,1,0,1,0,1,1
strain_065,Phylum_01,Class_01,Order_01,Family_11,Genus_33,60.3,4.83,3661,1,0,0,0,1,1,1,1
strain_066,Phylum_01,Class_01,Order_01,Family_03,Genus_28,58.3,6.08,6036,1,0,0,0,0,0,1,0
strain_067,Phylum_01,Class_01,Order_01,Family_10,Genus_31,41.9,5.15,4809,0,0,1,1,1,0,0,1
strain_068,Phylum_01,Class_01,Order_01,Family_03,Genus_08,36.0,3.65,5259,1,0,1,0,0,1,0,1
strain_069,Phylum_01,Class_01,Order_01,Family_11,Genus_33,44.5,6.5,5890,1,0,0,0,0,1,1,0
strain_070,Phylum_01,Class_01,Order_01,Family_06,Genus_16,43.0,6.01,4751,1,0,0,1,1,0,1,0
strain_071,Phylum_01,Class_01,Order_01,Family_08,Genus_20,41.3,6.41,5297,1,0,1,1,0,0,0,1
strain_072,Phylum_01,Class_01,Order_01,Family_04,Genus_09,63.3,6.28,3039,1,0,1,1,0,1,0,1
strain_073,Phylum_01,Class_01,Order_01,Family_01,Genus_01,61.3,6.05,3458,0,1,0,1,0,1,1,0
strain_074,Phylum_01,Class_01,Order_01,Family_11,Genus_26,44.4,4.0,3308,1,0,0,1,1,1,0,0
strain_075,Phylum_01,Class_01,Order_01,Family_07,Genus_21,54.7,4.96,6870,0,0,0,1,1,0,1,0
strain_076,Phylum_01,Class_01,Order_01,Family_06,Genus_02,46.9,4.14,6617,0,1,0,0,0,1,0,0
strain_077,Phylum_01,Class_01,Order_01,Family_03,Genus_03,62.4,4.7,5830,1,1,1,1,1,1,1,0
strain_078,Phylum_01,Class_01,Order_01,Family_01,Genus_01,48.8,3.68,6702,1,1,0,0,0,0,0,1
strain_079,Phylum_01,Class_01,Order_01,Family_09,Genus_24,42.9,4.64,3610,0,0,0,1,0,0,1,0
strain_080,Phylum_01,Class_01,Order_01,Family_02,Genus_23,42.4,6.46,5234,0,0,0,0,1,1,0,0
strain_081,Phylum_01,Class_01,Order_01,Family_05,Genus_07,51.8,4.3,3147,1,0,1,0,1,0,1,1
strain_082,Phylum_01,Class_01,Order_01,Family_03,Genus_28,42.9,5.85,6418,0,1,0,0,1,0,0,0
strain_083,Phylum_01,Class_01,Order_01,Family_08,Genus_20,52.5,4.87,4512,0,0,1,1,0,0,1,1
strain_084,Phylum_01,Class_01,Order_01,Family_01,Genus_01,61.9,4.77,5385,0,0,1,1,0,1,1,0
strain_085,Phylum_01,Class_01,Order_01,Family_04,Genus_09,47.0,6.37,5263,0,1,1,1,0,1,1,0
strain_086,Phylum_01,Class_01,Order_01,Family_10,Genus_31,41.6,6.49,3606,0,1,1,1,1,1,1,0
strain_087,Phylum_01,Class_01,Order_01,Family_08,Genus_06,64.9,5.17,4760,0,1,1,0,1,1,1,0
strain_088,Phylum_01,Class_01,Order_01,Family_05,Genus_07,50.3,5.66,3522,1,0,1,1,0,1,0,1
strain_089,Phylum_01,Class_01,Order_01,Family_03,Genus_04,37.7,3.96,3171,0,0,0,1,1,1,1,0
strain_090,Phylum_01,Class_01,Order_01,Family_03,Genus_12,36.4,4.39,4262,1,0,0,1,1,0,0,1
strain_091,Phylum_01,Class_01,Order_01,Family_07,Genus_17,38.3,6.41,4493,1,0,0,0,1,0,1,1
strain_092,Phylum_01,Class_01,Order_01,Family_03,Genus_12,53.8,5.24,6682,0,1,0,1,1,0,0,0
strain_093,Phylum_01,Class_01,Order_01,Family_03,Genus_10,58.8,5.13,6821,1,0,1,1,0,1,1,1
strain_094,Phylum_01,Class_01,Order_01,Family_09,Genus_24,47.7,5.74,6260,1,0,0,1,1,1,1,1
strain_095,Phylum_01,Class_01,Order_01,Family_09,Genus_24,36.9,3.67,6982,1,1,0,1,0,0,0,1
strain_096,Phylum_01,Class_01,Order_01,Family_05,Genus_11,46.4,5.25,6525,0,1,0,1,0,1,1,0
strain_097,Phylum_01,Class_01,Order_01,Family_04,Genus_09,64.9,5.01,3163,0,1,0,1,0,1,0,0
strain_098,Phylum_01,Class_01,Order_01,Family_07,Genus_25,50.9,6.06,6681,0,0,0,1,1,1,0,1
strain_099,Phylum_01,Class_01,Order_01,Family_08,Genus_06,64.1,3.97,4465,0,1,0,0,1,1,1,1
strain_100,Phylum_01,Class_01,Order_01,Family_07,Genus_25,60.8,6.38,3860,1,0,0,0,0,1,1,0
strain_101,Phylum_01,Class_01,Order_01,Family_07,Genus_32,35.3,3.74,5793,0,1,1,1,1,0,0,1
strain_102,Phylum_01,Class_01,Order_01,Family_03,Genus_27,56.6,4.06,4022,0,1,1,0,0,1,1,1
strain_103,Phylum_01,Class_01,Order_01,Family_04,Genus_19,55.5,5.29,5731,1,0,1,1,1,1,1,1
strain_104,Phylum_01,Class_01,Order_01,Family_08,Genus_06,51.1,5.53,3421,0,1,1,0,0,1,1,1
strain_105,Phylum_01,Class_01,Order_01,Family_03,Genus_12,43.0,4.21,4448,0,1,0,1,1,1,0,1
strain_106,Phylum_01,Class_01,Order_01,Family_08,Genus_20,54.2,3.86,6195,0,1,0,1,1,1,1,1
strain_107,Phylum_01,Class_01,Order_01,Family_07,Genus_18,38.3,6.17,5293,1,0,1,1,1,0,0,0
strain_108,Phylum_01,Class_01,Order_01,Family_03,Genus_08,48.0,4.24,6621,0,1,1,1,1,1,0,0
strain_109,Phylum_01,Class_01,Order_01,Family_03,Genus_05,48.6,5.28,6582,1,0,1,0,1,0,0,0
strain_110,Phylum_01,Class_01,Order_01,Family_04,Genus_19,63.6,5.36,4664,1,1,0,1,0,0,0,1
strain_111,Phylum_01,Class_01,Order_01,Family_03,Genus_13,61.3,4.76,6988,1,1,0,0,0,0,1,0
strain_112,Phylum_01,Class_01,Order_01,Family_09,Genus_24,42.9,5.25,5542,1,1,1,0,1,0,1,1
strain_113,Phylum_01,Class_01,Order_01,Family_03,Genus_29,50.0,5.07,6069,1,1,0,1,0,1,0,1
strain_114,Phylum_01,Class_01,Order_01,Family_03,Genus_04,40.4,6.3,3633,0,1,1,0,1,0,0,0
strain_115,Phylum_01,Class_01,Order_01,Family_03,Genus_27,62.4,4.11,6791,1,1,0,1,0,1,0,0
strain_116,Phylum_01,Class_01,Order_01,Family_07,Genus_18,61.1,5.65,6808,1,0,0,0,0,0,0,1
strain_117,Phylum_01,Class_01,Order_01,Family_03,Genus_27,44.0,4.22,3969,1,0,0,1,1,0,1,0
strain_118,Phylum_01,Class_01,Order_01,Family_06,Genus_02,54.2,4.69,6541,0,1,1,0,1,1,0,0
strain_119,Phylum_01,Class_01,Order_01,Family_03,Genus_28,53.3,5.52,3665,1,1,0,0,1,0,0,1
strain_120,Phylum_01,Class_01,Order_01,Family_03,Genus_15,39.6,4.4,6998,1,0,0,1,0,1,0,1
strain_121,Phylum_01,Class_01,Order_01,Family_11,Genus_26,57.9,4.45,6276,0,1,0,0,0,1,0,0
strain_122,Phylum_01,Class_01,Order_01,Family_07,Genus_32,51.2,5.76,6320,1,1,0,0,0,1,0,1
strain_123,Phylum_01,Class_01,Order_01,Family_03,Genus_03,58.4,3.72,3725,1,1,1,1,0,0,1,0
strain_124,Phylum_01,Class_01,Order_01,Family_07,Genus_32,50.9,4.87,6610,0,0,1,1,1,1,1,0
strain_125,Phylum_01,Class_01,Order_01,Family_04,Genus_19,35.0,6.5,4688,1,1,1,1,1,1,1,1
strain_126,Phylum_01,Class_01,Order_01,Family_03,Genus_29,44.7,6.49,3101,0,1,0,1,0,1,1,1
strain_127,Phylum_01,Class_01,Order_01,Family_05,Genus_07,35.6,3.72,3734,1,0,1,0,0,0,1,0
strain_128,Phylum_01,Class_01,Order_01,Family_03,Genus_04,62.9,4.14,6016,1,1,1,1,0,0,0,1
strain_129,Phylum_01,Class_01,Order_01,Family_03,Genus_14,61.4,4.3,6786,1,0,1,1,0,0,1,0
strain_130,Phylum_01,Class_01,Order_01,Family_07,Genus_21,59.9,6.3,4360,0,1,1,1,1,1,0,1
