id,trait_000,trait_001,trait_002,trait_003,trait_004,trait_005,trait_006,trait_007,trait_008,trait_009,trait_010,trait_011,trait_012,trait_013,trait_014,trait_015,trait_016,trait_017,trait_018,trait_019
genome_000057,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
genome_000058,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
genome_000059,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
genome_000060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
genome_000061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
genome_000062,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
genome_000066,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
genome_000068,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
genome_000069,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
genome_000070,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
genome_000071,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
genome_000072,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
genome_000073,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
genome_000074,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
genome_000075,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000076,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
genome_000077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
genome_000078,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
genome_000079,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000080,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
genome_000081,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
genome_000082,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
genome_000083,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
genome_000084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
genome_000085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000086,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
genome_000087,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
genome_000088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
genome_000089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
genome_000090,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
genome_000091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
genome_000092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000093,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
genome_000094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000095,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
genome_000096,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
genome_000097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
genome_000098,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
genome_000099,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
genome_000100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
genome_000102,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
genome_000103,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
genome_000104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
genome_000105,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
genome_000106,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000107,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
genome_000108,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
genome_000109,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
genome_000110,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
genome_000111,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
genome_000112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
genome_000116,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
genome_000117,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
genome_000118,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
genome_000119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000121,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
genome_000122,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
genome_000123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
genome_000124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
genome_000125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
genome_000126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
genome_000127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000128,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
genome_000129,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
genome_000130,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
genome_000131,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
genome_000132,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
genome_000133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000134,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
genome_000135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000136,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
genome_000137,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
genome_000138,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
genome_000139,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
genome_000140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
genome_000141,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
genome_000142,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
genome_000143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000144,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
genome_000145,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
genome_000146,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
genome_000147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000148,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
genome_000149,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
genome_000150,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
genome_000151,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
genome_000152,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
genome_000153,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
genome_000154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000155,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000156,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
genome_000157,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
genome_000158,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
genome_000159,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
genome_000160,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
genome_000161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
genome_000163,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
genome_000164,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
genome_000165,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
genome_000166,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
genome_000167,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
genome_000168,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
genome_000169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000170,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
genome_000171,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
genome_000172,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
genome_000173,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
genome_000174,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
genome_000175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
genome_000176,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
genome_000177,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000178,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
genome_000179,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
genome_000180,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
genome_000181,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
genome_000182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
genome_000183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000184,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
genome_000185,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
genome_000186,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
genome_000187,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
genome_000188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
genome_000189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000191,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000192,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000193,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
genome_000194,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
genome_000195,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
genome_000196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
genome_000198,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
genome_000199,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
genome_000200,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
genome_000201,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
genome_000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000203,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
genome_000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
genome_000205,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
genome_000206,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000207,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
genome_000208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
genome_000209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
genome_000210,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
genome_000211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000212,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
genome_000213,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000214,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
genome_000215,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0
genome_000216,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
genome_000217,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
genome_000218,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000219,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
genome_000220,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
genome_000221,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
genome_000222,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1
genome_000223,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
genome_000224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
genome_000225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
genome_000226,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
genome_000227,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
genome_000228,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000230,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
genome_000231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000232,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
genome_000233,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
genome_000234,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
genome_000235,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
genome_000236,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
genome_000237,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
genome_000238,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
genome_000239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
genome_000242,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
genome_000243,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
genome_000244,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
genome_000245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
genome_000247,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
genome_000248,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
genome_000249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000250,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
genome_000251,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
genome_000252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000253,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
genome_000254,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000255,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
genome_000256,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
genome_000257,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
genome_000258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
genome_000259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
genome_000261,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
genome_000262,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
genome_000263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
genome_000264,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000265,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
genome_000266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
genome_000267,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
genome_000268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
genome_000269,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
genome_000270,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
genome_000271,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
genome_000272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
genome_000273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000275,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
genome_000276,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
genome_000277,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
genome_000278,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
genome_000279,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
genome_000280,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
genome_000281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000282,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
genome_000283,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000284,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
genome_000285,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
genome_000286,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
genome_000287,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
genome_000288,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
genome_000289,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
genome_000290,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
genome_000291,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000292,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
genome_000293,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
genome_000294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000295,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
genome_000296,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
genome_000297,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
genome_000298,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
